66,Quand tu  publies la photo de la victime de l'attentat de #Paris sans la flouttée mais que tu te moques des médias qui montrent la photo de la grosse merde de terroriste. 🤔 Apologie du terrorisme vs débilité journalistique. Perso je préfére 1000 fois respecter les victimes. https://t.co/zJm0ZlmGcc
67,"Entretien avec Corinne Morel Darleux, de retour du Rojava

https://t.co/RbsoEFt7z9 https://t.co/P3ISPCLAGc"
68,Adoptable #Dog #Liam_SDHSCA_16 I’m very smart and just learned “sit” https://t.co/v9PrEPGbWj https://t.co/I5YN5k1Hu7
69,#Soudan : indignation après la condamnation à mort d'une adolescente victime de viol #justicefornoura https://t.co/cQHsU1gvYf
70,"Rappelons qu’en Iran, il est permis de changer de sexe mais que l’homosexualité est punie de mort. Je n’associerai jamais États appliquant la Charria et progressisme...  https://t.co/Vgkkz0T2c4"
71,Fin de la plaisanterie et début de l’arnaque. #TaxedHabitation https://t.co/VrcFzdPHCK
72,"Encore une fois de plus un lâche...
Ce sont vraiment des minables ! https://t.co/iDAdByCjAA"
73,Telerama était condescendant. Telerama est maintenant méprisant.   Je traduis «  moi parisien(ne) je prédis que ces crasseux d’ouvriers provinciaux qui sentent la sueur  vont faire un long voyage en bétaillère pour voir leur équipe se faire humilier » .  C’est juste pathétique. https://t.co/Mz6Nzb3a9c
74,Comment le monde de la finance a investi dans le candidat Macron https://t.co/01r4kTpLNM https://t.co/gQQcNmnqvV
75,"Vous avez encore un doute sur @ajplusfrancais , voici leurs derniéres publications: une video qui met en avant la non mixité notamment raciale, une autre sur la consultation de l’ex directeur du #CCIF qui a récemment apporté son soutien à #TariqRamadan et Houria #Bouteldja ! https://t.co/p9cKJLJRPz"
76,Marianne en kiosque ! https://t.co/s4HbdSURhZ
77,Wow ...des mosquées ont été mitraillées? Et des femmes violées le jour de l’aiid? Et on interdirait aux enfants d’aller à l’école en mettant du pâté au menu  de la cantine?  La vache ça fout la trouille😏 Quand à « la communauté supérieure » ça  me rappelle les annés 30 justement https://t.co/hW35NfJEDU
78,Vous imaginez une petite racaille de Daesh qui se pointe avec un couteau et qui tombe sur des citoyens Français armés ? https://t.co/RLXoXyxnTL
79,D'accord @Danette_euh https://t.co/Rf5eqRDilC
80,"Un gamin que je connais. Seul blond dans un collège, obligé de se battre comme un lion quasiment toutes les semaines. Ses parents veulent le changer d'établissement (voire de ville) car le ""vivre ensemble"" n'est qu'une fable pour sa soeur et lui. 
Combien sont-ils dans ce cas là? https://t.co/fI3qB1cYe7"
81,Raptor sérafade pour Ashkénacito @RaptorDissident @PAPACITOFDP #RDVDISSIDENT https://t.co/oAI0v8J9Ki
82,"#Contest #Concours #Giveaway

🎁 2 x 50 USD Xbox Live Gift card to win !

➡️ To try to win it : RT + Follow @XSC_Web

📜 Draw date : 04/05 https://t.co/c2GY1DYw6c"
83,Comment devenir un mac n°5 : les objets du quotidien. https://t.co/xlAPYwT3Q1
84,"#ReadyPlayerOne est sorti cette semaine ! Pour fêter ça, RT pour tenter de remporter : 
- La manette ultra collector #TheDuke pour #XboxOne ! 
- 10 places de cine pour aller voir le film
- Une enceinte Bluetooth personnalisable 
- Un sac gamer
- La lunchbox du film https://t.co/AbVLmKYIWm"
85,@NSDAPSOCIALKLUB's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
86,#Giveaway: Win an #XboxOne download code for #SeaOfThieves. Enter here: https://t.co/nceRQwimUJ
87,🎁 #CONCOURS 😍❤️🎬 - RT et Follow pour tenter de gagner une des 18 places pour une séance privée dans les locaux de Warner pour #TombRaider le film - Tous les détails ici : https://t.co/BCEf5Jufxf https://t.co/363KPeldna
88,"Trump au pouvoir :
- économie américaine florissante
- baisse du taux de chômage des Noirs américains
- projet de loi de contrôle des armes pour les personnes mineures ou instables
- la Corée du Nord prête à négocier sur le nucléaire

Les anti-Trump : https://t.co/GGGYs2gvBV"
89,"A little white girl has a joker smile carved into her face in South Africa, and people in the comments - who I assume are black Americans - love it. https://t.co/sDLfQvQcmO"
